Date,Incubation Temperature ,Station,Core ID,O2 uptake,NH4+ Flux ,DSi Flux,PO43- Flux,N2-N Flux,N2O Flux,CH4 Flux
29-Jul-11,25.2,CRE,4,354,n.m.,n.m.,n.m.,14.4,n.m.,n.m.
29-Jul-11,25.2,CRE,5,400,n.m.,n.m.,n.m.,21.6,n.m.,n.m.
29-Jul-11,25.2,CRE,10,418,n.m.,n.m.,n.m.,13.8,n.m.,n.m.
29-Jul-11,25.2,SLP,1,326,n.m.,n.m.,n.m.,0,n.m.,n.m.
29-Jul-11,25.2,SLP,8,720,n.m.,n.m.,n.m.,0,n.m.,n.m.
29-Jul-11,25.2,SLP,9,483,n.m.,n.m.,n.m.,6.2,n.m.,n.m.
24-Aug-11,24.5,MP,7,645,n.m.,n.m.,n.m.,9.6,n.m.,n.m.
24-Aug-11,24.5,MP,15,575,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,MP,16,660,n.m.,n.m.,n.m.,19.5,n.m.,n.m.
24-Aug-11,24.5,SB,1,527,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SB,5,504,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SB,9,246,n.m.,n.m.,n.m.,19,n.m.,n.m.
24-Aug-11,24.5,SLP,6,440,n.m.,n.m.,n.m.,-31.6,n.m.,n.m.
24-Aug-11,24.5,SLP,8,487,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SLP,19,634,n.m.,n.m.,n.m.,0,n.m.,n.m.
11-Oct-11,19.5,MP,7,487,n.m.,n.m.,n.m.,10.8,n.m.,n.m.
11-Oct-11,19.5,MP,8,541,n.m.,n.m.,n.m.,0,n.m.,n.m.
11-Oct-11,19.5,MP,9,421,n.m.,n.m.,n.m.,14.3,n.m.,n.m.
11-Oct-11,19.5,MP,18,482,n.m.,n.m.,n.m.,18.3,n.m.,n.m.
11-Oct-11,19.5,SB,1,357,n.m.,n.m.,n.m.,13,n.m.,n.m.
11-Oct-11,19.5,SB,4,348,n.m.,n.m.,n.m.,13.9,n.m.,n.m.
11-Oct-11,19.5,SB,5,356,n.m.,n.m.,n.m.,13.5,n.m.,n.m.
11-Oct-11,19.5,SB,6,320,n.m.,n.m.,n.m.,24.2,n.m.,n.m.
11-Jul-12,27,CRE,4,564,82,158,0,c.n.d,-11,5958
11-Jul-12,27,CRE,12,496,159,209,18.7,54.4,-38.2,529
11-Jul-12,27,CRE,15,475,134,212,22.7,50.1,-28.7,751
11-Jul-12,27,MP,2,535,62,237,0.7,0,-34.2,-4974
11-Jul-12,27,MP,3,491,114,281,3.3,-64.2,0,4026
11-Jul-12,27,MP,8,925,142,351,4.4,0,0,9492
11-Jul-12,27,SB,5,527,69,206,5.9,0,c.n.d,354
11-Jul-12,27,SB,6,485,36,126,0.3,c.n.d,0,0
11-Jul-12,27,SB,9,597,147,132,25.2,0,-22.3,230
6-Aug-12,28,SLP,3,615,302,152,22.4,m.i.,-1052*,1238
6-Aug-12,28,SLP,4,485,203,136,15.1,m.i.,-639*,1117
6-Aug-12,28,SLP,5,812,104,110,7.5,m.i.,-806*,976
6-Aug-12,28,SLP,6,516,181,163,18.8,m.i.,-840*,1979
2-Oct-12,18,MP,3,308,195,130,17.5,m.i.,c.n.d,5652
2-Oct-12,18,MP,13,717,293,143,18.5,m.i.,-6.3,6094
2-Oct-12,18,MP,16,368,147,96,19.4,m.i.,c.n.d,2811
2-Oct-12,18,SB,4,294,15,25,-0.5,m.i.,c.n.d,c.n.d
2-Oct-12,18,SB,9,256,28,43,-0.4,m.i.,0,130
2-Oct-12,18,SB,18,526,23,55,-0.3,m.i.,c.n.d,c.n.d
23-Sep-13,21,CRE,4,267,111,143,2.4,7,-24.5,1012
23-Sep-13,21,CRE,5,201,41,83,0.3,c.n.d,0,891
23-Sep-13,21,CRE,12,161,43,47,0.2,20.3,-18.1,0
23-Sep-13,21,MP,6,446,124,108,7.1,26.4,-20.2,7277
23-Sep-13,21,MP,17,344,156,121,8.2,22.4,-6.8,13486
23-Sep-13,21,MP,19,473,145,117,8.1,0,c.n.d,5400
23-Sep-13,21,SLP,14,372,69,87,1.7,-42.3,-8.1,134
23-Sep-13,21,SLP,15,388,81,97,-0.3,6.2,-9.3,130
23-Sep-13,21,SLP,18,398,99,93,1.7,0,-13.9,151
