Collection Date,Season,Station,Distance ,Core,Depth,Bottom_Temp,Bottom_Salinity,WC_Chla,Density,Porosity,C,N,CN,Sed_Chla,Sed_Phaeo,Bottom_DO,Bottom_NH4,Bottom_NO2,Bottom_NO3,Bottom_NOx,Bottom_DIN,Bottom_DIP,Initial_Temp,Initial_Salinity,Initial_DO,Initial_NH4,Initial_NO2,Initial_NO3,Initial_NOx,Initial_DIN,Initial_DIP,N2N,SOD,CH4,N2O,NH4,NO2,NO3,NOx,DIN,DIP,DIN.DIP
8-Aug-17,Summer,EXR,53,7,18.288,21.7,26.1,3.809,1.13,0.76,,,,14.705,204.739,102.25,5.79,1.67,4.25,5.96,11.71,2.78,22.5,26.6,70.36,7.278,1.787,3.92,5.759,12.985,2.979,0,541.674,0,0,134.218,-2.864,-9.936,-12.829,121.418,2.7,44.97
8-Aug-17,Summer,EXR,53,10,18.288,21.7,26.1,3.809,1.25,0.75,,,,16.582,227.384,102.25,5.79,1.67,4.25,5.96,11.71,2.78,22.5,26.1,66.92,7.278,1.787,3.92,5.759,12.985,2.979,-24.447,498.873,-89.21020756,18.968,126.113,-2.765,-5.469,-8.336,117.879,9.662,12.2
8-Aug-17,Summer,EXR,53,11,18.288,21.7,26.1,3.809,1.2,0.77,,,,14.281,255.631,102.25,5.79,1.67,4.25,5.96,11.71,2.78,22.6,25.7,81.3,7.278,1.787,3.92,5.759,12.985,2.979,-14.945,599.258,-161.4787734,23.323,109.801,-5.981,-10.671,-16.894,93.149,9.693,9.61
7-Dec-16,Winter,EXR,53,6,18,8.8,28.3,2.023,1.1,0.7,3.127,0.286,12.763,14.317,141.791,283.3,4.463,0.78,3.774,4.548,9.017,3.202,9.2,28.1,246.09,4.529,0.778,3.736,4.512,9.043,9.041,32.377,167.908,-28.11420907,-2.289,-4.317,-0.008,0.573,0.459,-3.752,-1.547,2.425
7-Dec-16,Winter,EXR,53,8,18,8.8,28.3,2.023,1.09,0.69,3.274,0.276,13.845,20.183,135.661,283.3,4.463,0.78,3.774,4.548,9.017,3.202,9.3,28.2,220.14,4.529,0.778,3.736,4.512,9.043,9.041,0,189.729,-45.83438538,0,13.801,0.396,-1.177,-0.72,13.02,2.91,4.474
7-Dec-16,Winter,EXR,53,12,18,8.8,28.3,2.023,1.07,0.67,3.224,0.285,13.229,16.441,123.963,283.3,4.463,0.78,3.774,4.548,9.017,3.202,9.3,28.2,221.39,4.529,0.778,3.736,4.512,9.043,9.041,59.053,195.644,-40.16537963,-3.281,0.77,0.053,1.891,1.766,2.714,1.05,2.585
13-Jun-17,Summer,EXR,53,6,17.68,18.7,27.3,25.791,1.1,0.76,3.242,0.334,11.297,22.201,159.816,183.55,5.32,0.2,0.9,1.09,6.42,1.55,17.2,25.8,107.25,4.72,0.194,0.782,0.974,5.696,1.588,25.258,1259.387,0,2.951,47.405,1.067,-3.491,-2.292,44.981,-0.004,-11245.25
13-Jun-17,Summer,EXR,53,7,17.68,18.7,27.3,25.791,1.09,0.75,3.066,0.314,11.452,21.981,179.066,183.55,5.32,0.2,0.9,1.09,6.42,1.55,17.1,25.7,157.91,4.72,0.194,0.782,0.974,5.696,1.588,185.066,731.335,-120.2694021,-32.443,29.288,4.035,0.056,4.357,33.379,7.951,4.198
13-Jun-17,Summer,EXR,53,9,17.68,18.7,27.3,25.791,,,3.213,0.314,12.082,,,183.55,5.32,0.2,0.9,1.09,6.42,1.55,17.1,25,147.59,4.72,0.194,0.782,0.974,5.696,1.588,22.512,811.285,0,0,39.422,4.847,-1.611,3.595,42.658,14.759,2.89
21-Jul-16,Summer,EXR,53,2,18.288,23.9,26.1,95.553,1.03,0.44,3.312,0.314,12.341,17.938,160.086,130.39,1.8,0.14,0.32,0.46,2.26,1.86,20.3,27.4,161.04,3.312,0.423,0.222,0.428,3.957,1.73,,,0,-24.818,49.056,-1.287,-1.82,-3.332,45.949,2.275,20.197
