Date,Incubation Temperature ,Station,Core ID,O2 uptake,NH4+ Flux ,DSi Flux,PO43- Flux,N2-N Flux,N2O Flux,CH4 Flux
29-Jul-11,25.2,CRE,4,1507,n.m.,n.m.,n.m.,0,n.m.,n.m.
29-Jul-11,25.2,CRE,5,1062,n.m.,n.m.,n.m.,19,n.m.,n.m.
29-Jul-11,25.2,CRE,10,1140,n.m.,n.m.,n.m.,33.9,n.m.,n.m.
29-Jul-11,25.2,SLP,1,862,n.m.,n.m.,n.m.,0,n.m.,n.m.
29-Jul-11,25.2,SLP,8,1320,n.m.,n.m.,n.m.,24.3,n.m.,n.m.
29-Jul-11,25.2,SLP,9,4296,n.m.,n.m.,n.m.,23.9,n.m.,n.m.
24-Aug-11,24.5,MP,7,2370,n.m.,n.m.,n.m.,-23.7,n.m.,n.m.
24-Aug-11,24.5,MP,15,3797,n.m.,n.m.,n.m.,-10.6,n.m.,n.m.
24-Aug-11,24.5,MP,16,2919,n.m.,n.m.,n.m.,-50.1,n.m.,n.m.
24-Aug-11,24.5,SB,1,1377,n.m.,n.m.,n.m.,-50.7,n.m.,n.m.
24-Aug-11,24.5,SB,5,1943,n.m.,n.m.,n.m.,27.9,n.m.,n.m.
24-Aug-11,24.5,SB,9,1283,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SLP,6,2074,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SLP,8,3028,n.m.,n.m.,n.m.,0,n.m.,n.m.
24-Aug-11,24.5,SLP,19,3151,n.m.,n.m.,n.m.,190.9,n.m.,n.m.
11-Oct-11,19.5,MP,7,2214,n.m.,n.m.,n.m.,0,n.m.,n.m.
11-Oct-11,19.5,MP,8,2654,n.m.,n.m.,n.m.,c.n.d,n.m.,n.m.
11-Oct-11,19.5,MP,9,2559,n.m.,n.m.,n.m.,38.5,n.m.,n.m.
11-Oct-11,19.5,MP,18,1725,n.m.,n.m.,n.m.,-50.5,n.m.,n.m.
11-Oct-11,19.5,SB,1,905,n.m.,n.m.,n.m.,22.9,n.m.,n.m.
11-Oct-11,19.5,SB,4,1444,n.m.,n.m.,n.m.,0,n.m.,n.m.
11-Oct-11,19.5,SB,5,1010,n.m.,n.m.,n.m.,15.3,n.m.,n.m.
11-Oct-11,19.5,SB,6,1581,n.m.,n.m.,n.m.,74.8,n.m.,n.m.
11-Jul-12,27,CRE,4,933,-108,174,-6.2,64.7,-43.2,7285
11-Jul-12,27,CRE,12,1550,0,210,-8.7,c.n.d,-40.2,3092
11-Jul-12,27,CRE,15,1657,103,205,-11.3,73.6,-75.7,3759
11-Jul-12,27,MP,2,1907,0,288,-4.2,59.2,0,16943
11-Jul-12,27,MP,3,1583,115,280,-11.6,-58.8,-63.1,10821
11-Jul-12,27,MP,8,1700,0,269,5.2,-89,-95.4,30701
11-Jul-12,27,SB,5,995,10,283,-3.3,87.8,0,849
11-Jul-12,27,SB,6,1078,3,158,-6.5,-22.2,-40.6,341
11-Jul-12,27,SB,9,2182,69,212,0,65.6,-75,373
6-Aug-12,28,SLP,3,2509,388,0,17.4,m.i.,-1346*,886
6-Aug-12,28,SLP,4,2167,457,119,4.3,m.i.,681*,1120
6-Aug-12,28,SLP,5,1453,162,168,-3.2,m.i.,-616*,742
6-Aug-12,28,SLP,6,1695,234,112,-5.5,m.i.,-989*,1179
2-Oct-12,18,MP,3,1749,220,206,4.8,m.i.,0,3101
2-Oct-12,18,MP,13,1229,478,232,12.3,m.i.,0,8907
2-Oct-12,18,MP,16,1282,397,245,3.8,m.i.,c.n.d,663
2-Oct-12,18,SB,4,849,52,52,-3.6,m.i.,c.n.d,c.n.d
2-Oct-12,18,SB,9,715,-15,84,-5.5,m.i.,-26,94
2-Oct-12,18,SB,18,557,51,87,-3.8,m.i.,28.7,c.n.d
23-Sep-13,21,CRE,4,866,77,139,0,16.3,-38.2,363
23-Sep-13,21,CRE,5,448,40,75,c.n.d,22.1,-23.8,2215
23-Sep-13,21,CRE,12,324,32,71,c.n.d,22.4,-25.4,672
23-Sep-13,21,MP,6,1148,209,207,6.3,40.5,-22.7,13543
23-Sep-13,21,MP,17,941,290,211,8.7,80.8,-24.1,20523
23-Sep-13,21,MP,19,1406,259,228,6.9,25.4,-41.9,10206
23-Sep-13,21,SLP,14,942,112,125,-3.8,-70.6,-25,320
23-Sep-13,21,SLP,15,1372,111,124,-5.3,18.6,-28.1,295
23-Sep-13,21,SLP,18,1490,186,140,-6.3,37.8,-31.3,350
